ts_code,name,细分行业,price_now,RPS_50,rps_50_chg,RPS_120,RPS_250,连续天数,pe_ttm,mv_亿,turnover_rate,xueqiu_url,更新日期,初次入选
603162.SH,海通发展,水运,12.22,96.44,0.79,88.22,94.52,6,18.64,51.61,8.82,https://xueqiu.com/S/SH603162,2026-08-24,2026-08-17
603221.SH,爱丽家居,家居用品,27.65,99.87,0.07,99.41,96.51,5,,66.99,7.53,https://xueqiu.com/S/SH603221,2026-08-24,2026-08-18
603228.SH,景旺电子,元器件,91.64,96.58,1.07,94.72,89.77,8,77.56,899.91,3.69,https://xueqiu.com/S/SH603228,2026-08-24,2026-08-13
603259.SH,药明康德,化学制药,155.84,99.0,-0.27,97.6,91.61,28,21.46,3854.36,2.77,https://xueqiu.com/S/SH603259,2026-08-24,2026-07-13
603261.SH,立航科技,航空,49.9,98.4,-0.25,97.71,96.1,34,,38.67,1.51,https://xueqiu.com/S/SH603261,2026-08-24,2026-07-02
603268.SH,松发股份,船舶,180.93,95.78,0.07,96.88,98.57,16,52.75,422.02,2.18,https://xueqiu.com/S/SH603268,2026-08-24,2026-07-30
603269.SH,海鸥股份,机械基件,18.23,92.11,-0.94,98.15,96.01,10,66.09,78.74,6.37,https://xueqiu.com/S/SH603269,2026-08-24,2026-08-11
603330.SH,天洋新材,塑料,10.97,97.13,999.0,95.21,87.99,1,,44.62,28.75,https://xueqiu.com/S/SH603330,2026-08-24,2026-08-24
603580.SH,艾艾精工,塑料,72.8,100.0,0.0,99.94,99.65,27,235.8,95.13,11.1,https://xueqiu.com/S/SH603580,2026-08-24,2026-07-15
603629.SH,利通电子,元器件,121.78,91.77,-4.01,99.74,99.98,6,83.57,439.29,8.96,https://xueqiu.com/S/SH603629,2026-08-24,2026-08-17
603682.SH,锦和商管,房产服务,11.27,97.82,0.18,95.43,93.74,15,,53.25,3.76,https://xueqiu.com/S/SH603682,2026-08-24,2026-07-31
603757.SH,大元泵业,机械基件,63.5,97.96,0.82,95.07,92.83,3,101.28,118.46,7.56,https://xueqiu.com/S/SH603757,2026-08-24,2026-08-20
603823.SH,百合花,染料涂料,69.98,99.27,-0.26,99.91,99.68,56,177.58,291.37,3.4,https://xueqiu.com/S/SH603823,2026-08-24,2026-05-25
603838.SH,*ST四通,家居用品,11.86,97.64,0.42,95.16,93.69,6,,37.95,2.36,https://xueqiu.com/S/SH603838,2026-08-24,2026-08-17
603903.SH,中持股份,环境保护,14.39,96.31,999.0,90.06,92.03,1,,36.74,6.78,https://xueqiu.com/S/SH603903,2026-08-24,2026-08-24
603991.SH,领先股份,半导体,132.25,87.53,-0.87,94.48,94.78,14,1086.08,118.41,2.13,https://xueqiu.com/S/SH603991,2026-08-24,2026-08-05
688002.SH,睿创微纳,通信设备,158.4,95.75,0.81,93.8,96.03,23,36.27,737.43,2.22,https://xueqiu.com/S/SH688002,2026-08-24,2026-07-21
688012.SH,中微公司,半导体,357.65,94.27,0.6,96.51,97.57,31,80.97,3369.77,2.13,https://xueqiu.com/S/SH688012,2026-08-24,2026-07-08
688019.SH,安集科技,半导体,242.32,87.15,999.0,90.85,94.97,1,67.28,553.35,2.66,https://xueqiu.com/S/SH688019,2026-08-24,2026-08-24
688025.SH,杰普特,专用机械,409.3,90.69,1.37,96.18,98.72,3,114.28,389.04,4.14,https://xueqiu.com/S/SH688025,2026-08-24,2026-08-20
688037.SH,芯源微,半导体,366.95,98.56,0.52,97.84,98.12,15,1049.38,740.38,2.21,https://xueqiu.com/S/SH688037,2026-08-24,2026-07-31
688046.SH,药康生物,生物制药,33.88,99.69,-0.02,99.05,94.76,27,76.13,138.97,4.09,https://xueqiu.com/S/SH688046,2026-08-24,2026-07-15
688120.SH,华海清科,半导体,266.66,98.62,0.31,98.79,98.7,62,115.93,1323.38,1.65,https://xueqiu.com/S/SH688120,2026-08-24,2026-05-14
688131.SH,皓元医药,化学制药,91.66,94.91,-1.43,94.73,91.68,12,79.69,195.45,2.81,https://xueqiu.com/S/SH688131,2026-08-24,2026-08-07
688137.SH,近岸蛋白,生物制药,75.49,99.8,-0.04,98.11,90.42,2,,52.78,10.52,https://xueqiu.com/S/SH688137,2026-08-24,2026-08-21
688147.SH,微导纳米,专用机械,117.3,96.36,-0.75,94.59,98.51,14,348.59,544.82,3.11,https://xueqiu.com/S/SH688147,2026-08-24,2026-08-05
688200.SH,华峰测控,半导体,405.99,97.95,1.11,99.1,99.41,64,143.43,815.22,1.99,https://xueqiu.com/S/SH688200,2026-08-24,2026-05-12
