date,code,name,close,pct_chg,pct_5d,pct_10d,pct_20d,pct_60d,turnover,up_count,down_count,amount_yi
2026-09-01,BK0920,车联网(车路云),1458.97,0.81,3.56,0.56,4.32,-3.07,1.22,163,54,644.89553057
2026-09-01,BK0922,数据中心,2083.55,-0.01,3.04,-0.87,4.51,-4.0,1.32,170,133,1413.95469458
2026-09-01,BK0923,抖音概念(字节概念),1494.78,1.71,6.26,2.09,2.46,0.17,4.85,76,22,778.04273715
2026-09-01,BK0924,地摊经济,1910.96,2.43,3.85,3.32,6.12,2.13,1.29,25,3,47.13530212
2026-09-01,BK0925,北交所概念,2255.83,1.22,4.56,3.35,7.61,1.64,3.05,17,8,75.73957069
2026-09-01,BK0926,湖北自贸,2380.78,0.01,2.75,-1.51,6.16,-3.1,1.7,15,13,134.41275771
2026-09-01,BK0927,免税概念,1156.03,2.49,2.18,3.16,1.47,0.2,0.82,17,1,45.24767047
2026-09-01,BK0933,退税商店,1211.24,4.29,4.5,4.76,5.37,1.33,1.41,12,0,21.63744876
2026-09-01,BK0936,长寿药,1102.2,1.69,0.47,-1.52,4.99,7.81,1.97,13,2,16.43442884
2026-09-01,BK0937,蚂蚁金服概念,747.71,2.15,3.42,3.22,1.71,3.19,0.79,57,4,262.9401989
2026-09-01,BK0938,代糖概念,1132.89,1.97,6.02,1.48,9.62,9.44,3.42,12,4,37.00910102
2026-09-01,BK0939,辅助生殖,1068.01,1.1,0.74,-2.05,4.99,7.47,1.85,43,9,77.86337641
2026-09-01,BK0940,网红经济,745.4,2.42,5.86,3.16,6.0,5.8,3.49,117,16,426.42314399
2026-09-01,BK0943,汽车拆解,1270.22,0.63,2.54,0.77,5.07,-4.44,0.72,13,4,19.13333152
2026-09-01,BK0944,肝素概念,855.43,1.37,-0.02,-2.73,0.97,5.71,0.9,13,0,12.27569046
2026-09-01,BK0945,装配建筑,1086.26,0.53,3.15,3.37,7.8,1.78,1.02,60,26,125.10531583
2026-09-01,BK0947,屏下摄像,933.57,0.57,4.45,1.79,5.83,-6.25,1.69,4,4,89.23370817
2026-09-01,BK0950,草甘膦,1742.12,3.38,7.16,4.12,6.99,7.69,2.21,13,0,35.87164094
2026-09-01,BK0953,鸿蒙概念,1509.2,1.81,5.03,2.43,4.0,0.77,2.93,106,25,377.27369582
2026-09-01,BK0954,盲盒经济,1434.98,4.25,9.85,5.74,8.11,5.49,6.59,12,1,97.60809677
2026-09-01,BK0955,C2M概念,1417.96,1.27,5.84,4.32,10.02,3.0,1.43,31,6,65.84084319
2026-09-01,BK0957,拼多多概念,1629.02,2.45,6.68,3.73,6.12,-0.5,2.63,20,7,59.40490992
2026-09-01,BK0958,虚拟电厂,2105.29,0.92,1.87,-0.5,-1.13,-9.3,0.94,56,18,112.82890534
2026-09-01,BK0959,数字阅读,1565.17,2.18,5.33,2.39,2.17,0.43,2.58,17,2,84.1081275
2026-09-01,BK0965,社区团购,875.94,3.11,4.36,0.99,7.08,8.66,2.93,36,2,74.11005789
2026-09-01,BK0966,碳交易,1838.24,0.91,3.3,2.17,4.0,-4.32,0.77,108,34,281.32936279
2026-09-01,BK0967,水产概念,945.73,3.95,7.35,5.58,15.96,15.9,3.35,17,0,46.68827607
2026-09-01,BK0970,生物识别,1723.12,0.75,4.32,0.55,5.63,-3.26,1.51,35,16,158.09795692
2026-09-01,BK0972,快手概念,1554.32,2.74,7.42,3.28,1.59,0.6,7.68,31,3,248.91792906
2026-09-01,BK0974,化妆品概念,1157.35,1.96,2.74,0.96,2.68,1.65,1.58,56,8,67.64771721
2026-09-01,BK0975,磁悬浮概念,2150.18,0.16,0.6,-1.85,1.48,-4.97,0.76,19,11,84.97888742
2026-09-01,BK0979,低碳冶金,941.04,0.92,4.04,5.3,1.46,0.45,0.35,7,0,8.04553873
2026-09-01,BK0980,化债(AMC)概念,1105.61,1.64,4.02,3.96,4.11,3.9,1.16,48,8,110.19748104
2026-09-01,BK0982,电子车牌,1295.14,2.07,3.98,0.95,6.89,-3.94,1.83,16,1,20.41463067
2026-09-01,BK0983,核污染防治,1716.74,0.38,2.55,-0.92,4.64,-3.74,0.56,19,13,34.0732301
2026-09-01,BK0984,华为汽车,2164.21,0.42,2.15,-1.82,3.2,-10.41,1.04,73,49,194.02149494
2026-09-01,BK0985,换电概念,1582.04,0.67,3.32,1.59,5.58,-7.97,1.03,27,16,79.83620192
2026-09-01,BK0986,CAR-T细胞疗法,1205.77,0.13,-3.91,-5.2,6.81,21.62,1.22,23,8,71.3878135
2026-09-01,BK0988,钠离子电池,1694.58,0.0,1.82,-0.75,4.64,-7.9,0.95,34,35,206.42680109
2026-09-01,BK0989,储能概念,2254.22,0.04,1.58,-1.44,3.6,-7.73,1.11,262,204,1161.84241787
2026-09-01,BK0990,快递概念,1132.06,0.76,2.27,0.34,5.9,4.8,0.94,30,9,41.97284931
2026-09-01,BK0991,工程机械概念,1643.73,0.96,2.72,0.9,4.35,-2.74,0.91,43,14,83.7612274
2026-09-01,BK0992,REITs概念,745.2,0.82,1.74,1.84,1.42,-2.76,1.16,18,5,47.17704488
2026-09-01,BK0993,宠物经济,871.76,1.61,3.07,1.19,6.43,6.28,1.44,62,10,58.85885471
2026-09-01,BK0994,空间站概念,2113.47,-0.23,2.7,-2.87,2.13,-11.22,1.17,11,12,34.43421248
2026-09-01,BK0995,华为昇腾,1469.52,0.81,3.54,-1.32,-0.32,-5.62,2.62,35,15,121.39790172
2026-09-01,BK0996,毛发医疗,1020.13,2.83,3.66,0.71,6.37,12.44,2.69,15,3,30.35656829
2026-09-01,BK0999,茅指数,721.06,0.64,0.41,-1.27,-1.93,4.13,0.56,29,13,532.93285298
2026-09-01,BK1000,宁组合,639.97,-0.26,-2.83,-6.05,-0.85,6.27,0.71,9,15,284.89370749
2026-09-01,BK1001,内贸流通,1285.81,2.32,3.73,2.99,7.21,4.97,1.84,143,16,230.83614367
2026-09-01,BK1002,激光雷达,2663.8,-0.39,5.37,-0.57,12.73,-7.47,1.76,18,24,234.5683098
2026-09-01,BK1003,抽水蓄能,1813.75,0.91,2.49,0.63,-0.63,-8.92,0.71,32,9,124.0291659
2026-09-01,BK1005,专精特新,1670.77,-0.25,2.59,-2.04,8.5,-3.35,1.88,600,642,2229.24917932
